binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,latency_p50_ms,latency_p99_ms,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
q5i_btree,tpchi,btree,q5i,c1,620,0.4,3,mi_coli_walk,query,2,3,0.002879,,,347342.8273706148,2544.34,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_btree,tpchi,btree,q5i,c1,620,0.4,4,base_hash_join,query,2,3,0.0004803,,,2082032.0632937746,2018.69,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_lsm,tpchi,lsm,q5i,c1,1500,0.4,1,base_merge_join,query,2,1,0.116,,,8620.689655172413,1979.44,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_lsm,tpchi,lsm,q5i,c1,1500,0.4,2,pipeline_view,query,2,1,0.1928,,,5186.721991701244,1867.92,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_lsm,tpchi,lsm,q5i,c1,1500,0.4,3,mi_coli_walk,query,2,1,0.1714,,,5834.3057176196035,2021.46,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_lsm,tpchi,lsm,q5i,c1,1500,0.4,4,base_hash_join,query,2,1,0.001953,,,512032.7700972862,1618.07,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_lsm,tpchi,lsm,q5i,c1,1500,0.4,1,base_merge_join,query,2,2,0.1093,,,9149.130832570907,1979.44,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_lsm,tpchi,lsm,q5i,c1,1500,0.4,2,pipeline_view,query,2,2,0.2278,,,4389.815627743635,1867.92,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_lsm,tpchi,lsm,q5i,c1,1500,0.4,3,mi_coli_walk,query,2,2,0.1732,,,5773.672055427252,2021.46,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_lsm,tpchi,lsm,q5i,c1,1500,0.4,4,base_hash_join,query,2,2,0.001853,,,539665.4074473826,1618.07,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_lsm,tpchi,lsm,q5i,c1,1500,0.4,1,base_merge_join,query,2,3,0.1183,,,8453.085376162298,1979.44,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_lsm,tpchi,lsm,q5i,c1,1500,0.4,2,pipeline_view,query,2,3,0.2388,,,4187.604690117253,1867.92,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_lsm,tpchi,lsm,q5i,c1,1500,0.4,3,mi_coli_walk,query,2,3,0.1753,,,5704.506560182544,2021.46,,,,,,,,,,,,,,,,,,,,,,,,,
