binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,2,pipeline_view,query,2,2,0.1702,,,5875.440658049354,1873.55,4285645c
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,3,mi_coli_walk,query,2,2,0.1726,,,5793.742757821553,2021.46,4285645c
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,4,base_hash_join,query,2,2,0.009955,,,100452.03415369161,1618.07,4285645c
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,1,base_merge_join,query,2,3,0.1009,,,9910.802775024777,1979.44,4285645c
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,2,pipeline_view,query,2,3,0.2155,,,4640.371229698376,1873.55,4285645c
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,3,mi_coli_walk,query,2,3,0.1752,,,5707.762557077625,2021.46,4285645c
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,4,base_hash_join,query,2,3,0.009025,,,110803.32409972299,1618.07,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,1,base_merge_join,query,2,1,0.03591,,,27847.3962684489,5085.2,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,2,pipeline_view,query,2,1,0.07056,,,14172.33560090703,4811.48,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,3,mi_coli_walk,query,2,1,0.05741,,,17418.56819369448,5239.35,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,4,base_hash_join,query,2,1,0.002833,,,352982.7038475115,4202.31,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,1,base_merge_join,query,2,2,0.04,,,25000.0,5132.67,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,2,pipeline_view,query,2,2,0.06791,,,14725.371815638346,4858.94,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,3,mi_coli_walk,query,2,2,0.05021,,,19916.351324437364,5239.35,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,4,base_hash_join,query,2,2,0.002557,,,391083.3007430583,4202.31,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,1,base_merge_join,query,2,3,0.04492,,,22261.79875333927,5132.67,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,2,pipeline_view,query,2,3,0.08363,,,11957.431543704413,4858.94,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,3,mi_coli_walk,query,2,3,0.05821,,,17179.178835251674,5239.35,4285645c
q3i_lsm,tpchi,lsm,q3i,c3,3850,0.4,4,base_hash_join,query,2,3,0.004012,,,249252.24327018944,4202.31,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,1,base_merge_join,query,2,1,0.001036,,,965250.9652509652,4290.28,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,2,pipeline_view,query,2,1,0.0008236,,,1214181.6415735795,4673.23,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,3,mi_col_walk,query,2,1,0.001274,,,784929.3563579278,4390.67,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,4,base_hash_join,query,2,1,0.0002566,,,3897116.134060795,3404.91,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,1,base_merge_join,query,2,2,0.001039,,,962463.9076034649,4290.28,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,2,pipeline_view,query,2,2,0.0008252,,,1211827.4357731459,4673.23,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,3,mi_col_walk,query,2,2,0.001277,,,783085.3563038372,4390.67,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,4,base_hash_join,query,2,2,0.0002576,,,3881987.577639752,3404.91,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,1,base_merge_join,query,2,3,0.001035,,,966183.5748792272,4290.28,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,2,pipeline_view,query,2,3,0.0005508,,,1815541.0312273055,4673.23,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,3,mi_col_walk,query,2,3,0.001274,,,784929.3563579278,4390.67,4285645c
q5_btree,vanilla,btree,q5,c0,1550,1.0,4,base_hash_join,query,2,3,0.0002571,,,3889537.145079735,3404.91,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,1,base_merge_join,query,2,1,0.002813,,,355492.3569143264,1718.12,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,2,pipeline_view,query,2,1,0.002209,,,452693.52648257127,1869.84,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,3,mi_col_walk,query,2,1,0.003296,,,303398.0582524272,1757.77,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,4,base_hash_join,query,2,1,0.0006975,,,1433691.7562724014,1363.16,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,1,base_merge_join,query,2,2,0.002819,,,354735.721887194,1718.12,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,2,pipeline_view,query,2,2,0.002209,,,452693.52648257127,1869.84,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,3,mi_col_walk,query,2,2,0.003297,,,303306.0357901122,1757.77,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,4,base_hash_join,query,2,2,0.0007082,,,1412030.499858797,1363.16,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,1,base_merge_join,query,2,3,0.002755,,,362976.4065335753,1718.12,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,2,pipeline_view,query,2,3,0.002188,,,457038.39122486295,1869.84,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,3,mi_col_walk,query,2,3,0.003288,,,304136.2530413625,1757.77,4285645c
q5_btree,vanilla,btree,q5,c1,620,0.4,4,base_hash_join,query,2,3,0.0004618,,,2165439.5842355997,1363.16,4285645c
q5_btree,vanilla,btree,q5,c3,1550,0.4,1,base_merge_join,query,2,1,0.0009937,,,1006339.9416322835,4290.28,4285645c
